make,model,year,engine_fuel_type,engine_hp,engine_cylinders,transmission_type,driven_wheels,number_of_doors,market_category,vehicle_size,vehicle_style,highway_mpg,city_mpg,popularity
3839,hyundai,elantra_gt,2015,regular_unleaded,173.0,6,manual,front_wheel_drive,2,"hatchback,performance",compact,4dr_hatchback,34,24,1439
10069,pontiac,sunbird,1993,regular_unleaded,140.0,6,manual,front_wheel_drive,2,,compact,coupe,26,17,210
9797,gmc,sonoma,2002,flex-fuel_(unleaded/e85),120.0,6,automatic,rear_wheel_drive,2,flex_fuel,compact,extended_cab_pickup,23,17,549
3018,chevrolet,corvette,2017,premium_unleaded_(recommended),460.0,6,manual,rear_wheel_drive,2,high-performance,compact,convertible,25,16,1385
7910,nissan,quest,2016,regular_unleaded,260.0,6,automatic,front_wheel_drive,2,,compact,passenger_minivan,27,20,2009
1627,lamborghini,aventador,2015,premium_unleaded_(required),720.0,6,automated_manual,all_wheel_drive,2,"exotic,high-performance",midsize,coupe,18,11,1158
11325,suzuki,verona,2005,regular_unleaded,155.0,6,automatic,front_wheel_drive,2,,midsize,sedan,25,18,481
7638,honda,pilot,2017,regular_unleaded,280.0,6,automatic,front_wheel_drive,2,crossover,midsize,4dr_suv,27,19,2202
7996,volkswagen,rabbit,2007,regular_unleaded,150.0,6,automatic,front_wheel_drive,2,hatchback,compact,4dr_hatchback,28,19,873
903,saab,900,1997,regular_unleaded,185.0,6,manual,front_wheel_drive,2,"hatchback,luxury,performance",compact,4dr_hatchback,25,18,376
7259,acura,nsx,2004,regular_unleaded,290.0,6,manual,rear_wheel_drive,2,"exotic,luxury,high-performance",compact,coupe,22,16,204
1461,bentley,arnage,2009,premium_unleaded_(required),450.0,6,automatic,rear_wheel_drive,2,"exotic,luxury,performance",large,sedan,15,9,520
666,bmw,6_series,2017,premium_unleaded_(required),315.0,6,automatic,rear_wheel_drive,2,"luxury,performance",midsize,convertible,29,20,3916
2402,volkswagen,cc,2015,premium_unleaded_(recommended),200.0,6,automated_manual,front_wheel_drive,2,performance,midsize,sedan,31,22,873
6616,bmw,m5,2016,premium_unleaded_(required),560.0,6,automated_manual,rear_wheel_drive,2,"factory_tuner,luxury,high-performance",large,sedan,20,14,3916
3017,chevrolet,corvette,2017,premium_unleaded_(recommended),455.0,6,manual,rear_wheel_drive,2,high-performance,compact,convertible,25,16,1385
3277,cadillac,cts,2017,premium_unleaded_(required),420.0,6,automatic,rear_wheel_drive,2,"factory_tuner,luxury,high-performance",large,sedan,24,16,1624
7142,mazda,navajo,1993,regular_unleaded,160.0,6,manual,four_wheel_drive,2,,compact,2dr_suv,21,16,586
8577,nissan,rogue,2015,regular_unleaded,170.0,6,automatic,front_wheel_drive,2,crossover,midsize,4dr_suv,33,26,2009
10719,ford,transit_wagon,2016,premium_unleaded_(recommended),310.0,6,automatic,rear_wheel_drive,2,diesel,large,passenger_van,19,14,5657
10837,mazda,truck,2003,regular_unleaded,207.0,6,manual,four_wheel_drive,2,,compact,extended_cab_pickup,17,14,586
1776,subaru,b9_tribeca,2007,premium_unleaded_(required),245.0,6,automatic,all_wheel_drive,2,crossover,midsize,4dr_suv,21,16,640
1051,audi,a3,2017,premium_unleaded_(recommended),220.0,6,automated_manual,all_wheel_drive,2,luxury,compact,sedan,35,26,3105
6452,land_rover,lr2,2013,premium_unleaded_(recommended),240.0,6,automatic,all_wheel_drive,2,"crossover,luxury",compact,4dr_suv,24,17,258
7749,nissan,pulsar,1990,regular_unleaded,90.0,6,manual,front_wheel_drive,2,,compact,coupe,31,23,2009
1599,toyota,avalon,2015,regular_unleaded,268.0,6,automatic,front_wheel_drive,2,,midsize,sedan,31,21,2031
11273,toyota,venza,2013,regular_unleaded,268.0,6,automatic,front_wheel_drive,2,"crossover,performance",midsize,wagon,26,19,2031
8454,buick,regal,2016,premium_unleaded_(recommended),259.0,6,automatic,all_wheel_drive,2,performance,midsize,sedan,27,19,155
2345,buick,cascada,2017,premium_unleaded_(recommended),200.0,6,automatic,front_wheel_drive,2,,midsize,convertible,27,20,155
7727,mazda,protege,2001,regular_unleaded,103.0,6,manual,front_wheel_drive,2,,compact,sedan,31,25,586
3187,cadillac,ct6,2017,premium_unleaded_(required),404.0,6,automatic,all_wheel_drive,2,"luxury,high-performance",large,sedan,26,18,1624
3121,honda,crosstour,2015,regular_unleaded,278.0,6,automatic,front_wheel_drive,2,"crossover,hatchback",midsize,4dr_hatchback,30,20,2202
2695,mercedes-benz,cla-class,2017,premium_unleaded_(required),375.0,6,automatic,all_wheel_drive,2,"factory_tuner,luxury,high-performance",midsize,sedan,30,23,617
10376,buick,terraza,2007,regular_unleaded,240.0,6,automatic,front_wheel_drive,2,flex_fuel,midsize,passenger_minivan,23,16,155
4313,ford,expedition,2016,regular_unleaded,365.0,6,automatic,rear_wheel_drive,2,,large,4dr_suv,22,16,5657
5919,acura,integra,1999,regular_unleaded,140.0,6,manual,front_wheel_drive,2,luxury,compact,sedan,29,22,204
10859,nissan,truck,1996,regular_unleaded,134.0,6,manual,four_wheel_drive,2,,compact,extended_cab_pickup,18,15,2009
4344,ford,expedition,2017,regular_unleaded,365.0,6,automatic,rear_wheel_drive,2,,large,4dr_suv,21,15,5657
10037,chevrolet,suburban,2015,flex-fuel_(unleaded/e85),355.0,6,automatic,four_wheel_drive,2,"flex_fuel,performance",large,4dr_suv,22,15,1385
8212,dodge,ram_van,2000,regular_unleaded,225.0,6,automatic,rear_wheel_drive,2,,midsize,cargo_van,17,12,1851
5303,mercedes-benz,gla-class,2017,premium_unleaded_(required),375.0,6,automatic,all_wheel_drive,2,"crossover,factory_tuner,luxury,high-performance",compact,4dr_suv,28,22,617
9852,kia,soul_ev,2016,electric,,6,direct_drive,front_wheel_drive,2,,compact,wagon,92,120,1720
9241,toyota,sienna,2017,regular_unleaded,296.0,6,automatic,all_wheel_drive,2,,large,passenger_minivan,24,18,2031
11210,aston_martin,vanquish,2016,premium_unleaded_(required),568.0,6,automatic,rear_wheel_drive,2,"exotic,high-performance",midsize,coupe,21,13,259
10203,toyota,tacoma,2016,regular_unleaded,278.0,6,automatic,rear_wheel_drive,2,,compact,crew_cab_pickup,24,19,2031
7403,chrysler,pacifica,2007,regular_unleaded,255.0,6,automatic,all_wheel_drive,2,crossover,large,wagon,22,14,1013
7316,kia,optima,2014,regular_unleaded,274.0,6,automatic,front_wheel_drive,2,performance,midsize,sedan,31,20,1720
11108,volvo,v40,2004,premium_unleaded_(required),170.0,6,automatic,front_wheel_drive,2,luxury,compact,wagon,27,19,870
4266,lotus,evora,2014,premium_unleaded_(required),276.0,6,manual,rear_wheel_drive,2,"exotic,high-performance",compact,coupe,26,18,613
5625,volkswagen,gti,2012,premium_unleaded_(recommended),200.0,6,manual,front_wheel_drive,2,"hatchback,performance",compact,4dr_hatchback,31,21,873
10712,ford,transit_wagon,2016,flex-fuel_(unleaded/e85),275.0,6,automatic,rear_wheel_drive,2,flex_fuel,midsize,passenger_van,19,14,5657
10722,ford,transit_wagon,2016,premium_unleaded_(recommended),310.0,6,automatic,rear_wheel_drive,2,diesel,large,passenger_van,19,14,5657
8076,dodge,ram_150,1993,regular_unleaded,230.0,6,manual,rear_wheel_drive,2,,large,extended_cab_pickup,16,12,1851
1831,volkswagen,beetle_convertible,2015,regular_unleaded,170.0,6,automatic,front_wheel_drive,2,,compact,convertible,32,24,873
3204,cadillac,cts_coupe,2013,regular_unleaded,318.0,6,automatic,rear_wheel_drive,2,"luxury,performance",midsize,coupe,27,18,1624
11380,dodge,viper,2015,premium_unleaded_(required),645.0,6,manual,rear_wheel_drive,2,"exotic,high-performance",compact,coupe,21,12,1851
5727,toyota,highlander_hybrid,2016,regular_unleaded,280.0,6,automatic,all_wheel_drive,2,"crossover,hybrid",midsize,4dr_suv,28,27,2031
3822,oldsmobile,eighty-eight_royale,1995,regular_unleaded,225.0,6,automatic,front_wheel_drive,2,,large,sedan,26,17,26
6255,subaru,justy,1994,regular_unleaded,73.0,6,manual,front_wheel_drive,2,hatchback,compact,2dr_hatchback,33,28,640
9716,hyundai,sonata_hybrid,2017,regular_unleaded,193.0,6,automatic,front_wheel_drive,2,hybrid,midsize,sedan,43,38,1439
3295,oldsmobile,custom_cruiser,1990,regular_unleaded,140.0,6,automatic,rear_wheel_drive,2,,large,wagon,22,15,26
1564,cadillac,ats,2017,premium_unleaded_(recommended),272.0,6,automatic,all_wheel_drive,2,"luxury,performance",midsize,sedan,30,22,1624
940,porsche,911,2016,premium_unleaded_(required),430.0,6,manual,all_wheel_drive,2,"luxury,high-performance",compact,coupe,26,18,1715
2577,honda,civic,2016,regular_unleaded,158.0,6,automatic,front_wheel_drive,2,,compact,coupe,41,30,2202
5795,scion,ia,2016,regular_unleaded,106.0,6,manual,front_wheel_drive,2,,compact,sedan,41,31,105
2623,chevrolet,c/k_1500_series,1997,regular_unleaded,230.0,6,manual,rear_wheel_drive,2,,large,extended_cab_pickup,19,14,1385
454,mercedes-benz,400-class,1992,regular_unleaded,268.0,6,automatic,rear_wheel_drive,2,"luxury,performance",midsize,sedan,20,15,617
10514,oldsmobile,toronado,1992,regular_unleaded,170.0,6,automatic,front_wheel_drive,2,,large,coupe,24,16,26
1714,mazda,b-series_pickup,2000,flex-fuel_(unleaded/e85),143.0,6,manual,rear_wheel_drive,2,flex_fuel,compact,regular_cab_pickup,21,16,586
4857,subaru,forester,2017,regular_unleaded,170.0,6,manual,all_wheel_drive,2,crossover,midsize,4dr_suv,28,22,640
6993,mitsubishi,montero_sport,2004,regular_unleaded,197.0,6,automatic,four_wheel_drive,2,,midsize,4dr_suv,17,14,436
11670,suzuki,xl-7,2005,regular_unleaded,185.0,6,automatic,four_wheel_drive,2,,midsize,4dr_suv,20,15,481
4911,land_rover,freelander,2004,regular_unleaded,174.0,6,automatic,all_wheel_drive,2,"crossover,luxury",compact,4dr_suv,19,16,258
2228,toyota,camry_solara,2007,regular_unleaded,155.0,6,automatic,front_wheel_drive,2,,midsize,coupe,31,22,2031
8414,lexus,rc_350,2017,premium_unleaded_(required),306.0,6,automatic,rear_wheel_drive,2,"luxury,performance",midsize,coupe,28,19,454
11696,suzuki,xl7,2007,regular_unleaded,252.0,6,automatic,all_wheel_drive,2,crossover,midsize,4dr_suv,21,16,481
1950,volkswagen,beetle,2017,regular_unleaded,170.0,6,automatic,front_wheel_drive,2,hatchback,compact,2dr_hatchback,33,24,873
2119,audi,cabriolet,1996,regular_unleaded,172.0,6,automatic,front_wheel_drive,2,luxury,compact,convertible,22,17,3105
8943,volvo,s80,2016,regular_unleaded,240.0,6,automatic,front_wheel_drive,2,luxury,midsize,sedan,37,25,870
10278,ford,taurus_x,2009,regular_unleaded,263.0,6,automatic,front_wheel_drive,2,crossover,large,wagon,24,17,5657
7374,mitsubishi,outlander_sport,2017,regular_unleaded,168.0,6,automatic,four_wheel_drive,2,crossover,compact,4dr_suv,27,22,436
3417,mazda,cx-9,2016,regular_unleaded,227.0,6,automatic,all_wheel_drive,2,crossover,large,4dr_suv,27,21,586
1287,oldsmobile,achieva,1996,regular_unleaded,150.0,6,manual,front_wheel_drive,2,,midsize,sedan,30,20,26
3831,hyundai,elantra_coupe,2013,regular_unleaded,148.0,6,automatic,front_wheel_drive,2,,compact,coupe,37,27,1439
2762,chevrolet,colorado,2012,regular_unleaded,242.0,6,automatic,rear_wheel_drive,2,,compact,extended_cab_pickup,23,17,1385
10491,acura,tlx,2015,premium_unleaded_(recommended),290.0,6,automatic,front_wheel_drive,2,luxury,midsize,sedan,34,21,204
462,ferrari,456m,2002,premium_unleaded_(required),442.0,6,automatic,rear_wheel_drive,2,"exotic,high-performance",compact,coupe,14,9,2774
1171,hyundai,accent,2014,regular_unleaded,138.0,6,automatic,front_wheel_drive,2,hatchback,compact,4dr_hatchback,37,27,1439
9995,dodge,stealth,1994,regular_unleaded,222.0,6,manual,front_wheel_drive,2,performance,compact,coupe,23,17,1851
11647,scion,xd,2013,regular_unleaded,128.0,6,manual,front_wheel_drive,2,hatchback,compact,4dr_hatchback,33,27,105
11043,toyota,tundra,2017,regular_unleaded,381.0,6,automatic,rear_wheel_drive,2,,large,extended_cab_pickup,18,13,2031
5377,volkswagen,golf_gti,2015,premium_unleaded_(recommended),210.0,6,manual,front_wheel_drive,2,"hatchback,performance",compact,4dr_hatchback,34,25,873
9782,chevrolet,sonic,2016,regular_unleaded,138.0,6,automatic,front_wheel_drive,2,hatchback,compact,4dr_hatchback,35,24,1385
4897,scion,fr-s,2015,premium_unleaded_(required),200.0,6,automatic,rear_wheel_drive,2,performance,compact,coupe,34,25,105
7189,volkswagen,new_beetle,2008,regular_unleaded,150.0,6,automatic,front_wheel_drive,2,hatchback,compact,2dr_hatchback,29,20,873
1414,nissan,altima,2016,regular_unleaded,182.0,6,automatic,front_wheel_drive,2,,midsize,sedan,37,27,2009
3496,dodge,dart,2016,regular_unleaded,184.0,6,manual,front_wheel_drive,2,,midsize,sedan,35,22,1851
874,saab,9-7x,2008,regular_unleaded,390.0,6,automatic,all_wheel_drive,2,luxury,midsize,4dr_suv,16,12,376
9061,chrysler,sebring,2009,flex-fuel_(unleaded/e85),186.0,6,automatic,front_wheel_drive,2,flex_fuel,midsize,convertible,26,18,1013
10573,lincoln,town_car,2011,flex-fuel_(unleaded/e85),239.0,6,automatic,rear_wheel_drive,2,"flex_fuel,luxury",large,sedan,24,16,61
9592,chevrolet,silverado_1500,2016,regular_unleaded,355.0,6,automatic,four_wheel_drive,2,,large,crew_cab_pickup,22,16,1385
7412,chrysler,pacifica,2017,regular_unleaded,287.0,6,automatic,front_wheel_drive,2,,midsize,passenger_minivan,28,18,1013
10250,chevrolet,tahoe_hybrid,2013,regular_unleaded,332.0,6,automatic,four_wheel_drive,2,"luxury,hybrid",large,4dr_suv,23,20,1385
8075,dodge,ram_150,1993,regular_unleaded,180.0,6,manual,rear_wheel_drive,2,,large,regular_cab_pickup,17,14,1851
1971,chevrolet,blazer,2003,regular_unleaded,190.0,6,automatic,rear_wheel_drive,2,,midsize,4dr_suv,21,15,1385
8746,chevrolet,s-10,2002,regular_unleaded,190.0,6,automatic,rear_wheel_drive,2,performance,compact,extended_cab_pickup,20,15,1385
7615,honda,pilot,2016,regular_unleaded,280.0,6,automatic,all_wheel_drive,2,crossover,midsize,4dr_suv,26,18,2202
1702,mazda,b-series_pickup,1999,flex-fuel_(unleaded/e85),150.0,6,manual,rear_wheel_drive,2,flex_fuel,compact,extended_cab_pickup,21,16,586
6416,acura,legend,1993,regular_unleaded,230.0,6,manual,front_wheel_drive,2,"luxury,performance",midsize,coupe,23,15,204
965,porsche,911,2017,premium_unleaded_(required),370.0,6,manual,all_wheel_drive,2,"luxury,high-performance",compact,coupe,28,19,1715
8833,mercedes-benz,s-class,2016,premium_unleaded_(required),621.0,6,automatic,rear_wheel_drive,2,"factory_tuner,luxury,high-performance",large,sedan,20,13,617
4167,cadillac,escalade,2016,premium_unleaded_(recommended),420.0,6,automatic,four_wheel_drive,2,"luxury,performance",large,4dr_suv,21,15,1624
5918,acura,integra,1999,regular_unleaded,140.0,6,manual,front_wheel_drive,2,luxury,compact,sedan,29,22,204
2108,mercedes-benz,c36_amg,1996,regular_unleaded,276.0,6,automatic,rear_wheel_drive,2,"factory_tuner,luxury,performance",compact,sedan,20,16,617
3192,cadillac,ct6,2017,regular_unleaded,335.0,6,automatic,all_wheel_drive,2,"luxury,performance",large,sedan,27,18,1624
1511,cadillac,ats_coupe,2016,regular_unleaded,335.0,6,automatic,all_wheel_drive,2,"luxury,high-performance",compact,coupe,28,19,1624
7690,toyota,prius_v,2017,regular_unleaded,134.0,6,automatic,front_wheel_drive,2,hybrid,midsize,wagon,39,43,2031
6267,suzuki,kizashi,2011,regular_unleaded,180.0,6,automatic,all_wheel_drive,2,,midsize,sedan,29,22,481
1102,audi,a6,2015,premium_unleaded_(recommended),220.0,6,automatic,front_wheel_drive,2,luxury,midsize,sedan,33,25,3105
4381,ford,explorer_sport,2002,regular_unleaded,203.0,6,automatic,four_wheel_drive,2,,midsize,2dr_suv,18,13,5657
10817,mazda,tribute,2010,regular_unleaded,171.0,6,manual,front_wheel_drive,2,crossover,compact,4dr_suv,28,22,586
2408,volkswagen,cc,2016,premium_unleaded_(recommended),280.0,6,automated_manual,all_wheel_drive,2,performance,midsize,sedan,25,17,873
10606,chevrolet,trailblazer_ext,2006,regular_unleaded,291.0,6,automatic,four_wheel_drive,2,,large,4dr_suv,19,14,1385
4200,ford,escape,2016,regular_unleaded,168.0,6,automatic,front_wheel_drive,2,crossover,compact,4dr_suv,31,22,5657
10523,pontiac,torrent,2009,regular_unleaded,185.0,6,automatic,all_wheel_drive,2,crossover,compact,4dr_suv,24,17,210
2645,chevrolet,c/k_1500_series,1998,regular_unleaded,200.0,6,manual,rear_wheel_drive,2,,large,regular_cab_pickup,21,16,1385
2847,chrysler,concorde,2004,regular_unleaded,234.0,6,automatic,front_wheel_drive,2,,large,sedan,25,17,1013
9323,gmc,sierra_1500,2015,regular_unleaded,355.0,6,automatic,four_wheel_drive,2,,large,crew_cab_pickup,22,16,549
2805,chevrolet,colorado,2016,regular_unleaded,200.0,6,automatic,rear_wheel_drive,2,diesel,compact,crew_cab_pickup,27,20,1385
1040,audi,a3,2016,premium_unleaded_(recommended),170.0,6,automated_manual,front_wheel_drive,2,luxury,compact,sedan,33,23,3105
139,bmw,3_series,2015,premium_unleaded_(required),300.0,6,automatic,all_wheel_drive,2,"luxury,performance",midsize,sedan,30,20,3916
4417,mitsubishi,expo,1993,regular_unleaded,136.0,6,manual,front_wheel_drive,2,hatchback,compact,4dr_hatchback,26,19,436
10630,chevrolet,trailblazer,2009,regular_unleaded,285.0,6,automatic,four_wheel_drive,2,,midsize,4dr_suv,20,14,1385
5495,dodge,grand_caravan,2016,flex-fuel_(unleaded/e85),283.0,6,automatic,front_wheel_drive,2,flex_fuel,midsize,passenger_minivan,25,17,1851
1817,volkswagen,beetle_convertible,2014,regular_unleaded,170.0,6,automatic,front_wheel_drive,2,,compact,convertible,27,21,873
1075,audi,a4,2016,premium_unleaded_(required),220.0,6,automatic,all_wheel_drive,2,luxury,midsize,sedan,31,22,3105
3759,toyota,echo,2003,regular_unleaded,108.0,6,automatic,front_wheel_drive,2,,compact,sedan,36,28,2031
145,bmw,3_series,2016,premium_unleaded_(required),320.0,6,automatic,all_wheel_drive,2,"luxury,high-performance",midsize,sedan,33,22,3916
9901,kia,spectra,2008,regular_unleaded,138.0,6,manual,front_wheel_drive,2,,compact,sedan,30,23,1720
4655,ferrari,f430,2008,premium_unleaded_(required),483.0,6,manual,rear_wheel_drive,2,"exotic,high-performance",compact,coupe,16,11,2774
2909,lincoln,continental,2017,regular_unleaded,305.0,6,automatic,front_wheel_drive,2,luxury,large,sedan,26,17,61
8997,hyundai,santa_fe,2017,regular_unleaded,290.0,6,automatic,all_wheel_drive,2,crossover,midsize,4dr_suv,22,17,1439
517,bmw,5_series,2015,diesel,255.0,6,automatic,rear_wheel_drive,2,"diesel,luxury",large,sedan,38,26,3916
9364,gmc,sierra_1500,2016,flex-fuel_(unleaded/e85),285.0,6,automatic,rear_wheel_drive,2,flex_fuel,large,extended_cab_pickup,24,18,549
11781,cadillac,xts,2016,regular_unleaded,304.0,6,automatic,front_wheel_drive,2,"luxury,performance",large,sedan,28,18,1624
5322,mercedes-benz,gle-class,2017,premium_unleaded_(required),329.0,6,automatic,all_wheel_drive,2,"crossover,luxury,performance",midsize,4dr_suv,23,18,617
6116,volkswagen,jetta,2015,regular_unleaded,170.0,6,automatic,front_wheel_drive,2,,midsize,sedan,37,25,873
2056,subaru,brz,2017,premium_unleaded_(required),205.0,6,manual,rear_wheel_drive,2,performance,compact,coupe,29,21,640
2918,ford,contour,1999,regular_unleaded,125.0,6,manual,front_wheel_drive,2,,midsize,sedan,31,21,5657
8278,land_rover,range_rover_sport,2015,flex-fuel_(premium_unleaded_required/e85),340.0,6,automatic,four_wheel_drive,2,"flex_fuel,luxury,performance",midsize,4dr_suv,23,17,258
10553,chrysler,town_and_country,2014,flex-fuel_(unleaded/e85),283.0,6,automatic,front_wheel_drive,2,flex_fuel,midsize,passenger_minivan,25,17,1013
5832,chevrolet,impala,2016,flex-fuel_(unleaded/e85),305.0,6,automatic,front_wheel_drive,2,"flex_fuel,performance",large,sedan,29,19,1385
870,saab,9-7x,2007,regular_unleaded,290.0,6,automatic,all_wheel_drive,2,luxury,midsize,4dr_suv,20,14,376
10099,toyota,supra,1997,regular_unleaded,220.0,6,manual,rear_wheel_drive,2,performance,compact,coupe,22,16,2031
6927,tesla,model_s,2015,electric,,6,direct_drive,all_wheel_drive,2,"exotic,high-performance",large,sedan,106,95,1391
6775,acura,mdx,2016,premium_unleaded_(recommended),290.0,6,automatic,all_wheel_drive,2,"crossover,luxury",midsize,4dr_suv,26,18,204
9996,dodge,stealth,1994,regular_unleaded,222.0,6,manual,front_wheel_drive,2,performance,compact,coupe,23,17,1851
5853,subaru,impreza_wrx,2014,premium_unleaded_(required),265.0,6,manual,all_wheel_drive,2,"hatchback,performance",compact,4dr_hatchback,25,19,640
273,nissan,350z,2007,regular_unleaded,306.0,6,automatic,rear_wheel_drive,2,high-performance,compact,convertible,23,17,2009
6595,infiniti,m37,2011,premium_unleaded_(recommended),330.0,6,automatic,rear_wheel_drive,2,"luxury,performance",large,sedan,26,18,190
8663,lexus,rx_300,2003,regular_unleaded,220.0,6,automatic,all_wheel_drive,2,"crossover,luxury",midsize,4dr_suv,21,16,454
10668,ford,transit_connect,2016,regular_unleaded,169.0,6,automatic,front_wheel_drive,2,,compact,passenger_minivan,28,20,5657
1789,subaru,baja,2006,premium_unleaded_(required),210.0,6,automatic,all_wheel_drive,2,crossover,compact,crew_cab_pickup,21,16,640
9395,gmc,sierra_1500,2017,flex-fuel_(unleaded/e85),285.0,6,automatic,rear_wheel_drive,2,flex_fuel,large,crew_cab_pickup,24,18,549
2083,mercedes-benz,c-class,2017,premium_unleaded_(required),503.0,6,automatic,rear_wheel_drive,2,"factory_tuner,luxury,high-performance",midsize,sedan,24,18,617
8719,chevrolet,s-10_blazer,1992,regular_unleaded,160.0,6,manual,rear_wheel_drive,2,,midsize,4dr_suv,22,16,1385
1919,volkswagen,beetle,2015,premium_unleaded_(recommended),210.0,6,manual,front_wheel_drive,2,"hatchback,performance",compact,2dr_hatchback,31,23,873
7732,mazda,protege,2002,regular_unleaded,130.0,6,manual,front_wheel_drive,2,,compact,sedan,28,22,586
7602,honda,pilot,2015,regular_unleaded,250.0,6,automatic,front_wheel_drive,2,crossover,midsize,4dr_suv,25,18,2202
1,bmw,1_series,2011,premium_unleaded_(required),300.0,6,manual,rear_wheel_drive,2,"luxury,performance",compact,convertible,28,19,3916
8870,audi,s4,2015,premium_unleaded_(required),333.0,6,automated_manual,all_wheel_drive,2,"factory_tuner,luxury,high-performance",midsize,sedan,28,18,3105
5946,dodge,intrepid,2003,regular_unleaded,200.0,6,automatic,front_wheel_drive,2,,large,sedan,27,19,1851
7147,lincoln,navigator,2015,regular_unleaded,365.0,6,automatic,four_wheel_drive,2,luxury,large,4dr_suv,20,15,61
9454,chevrolet,silverado_1500_classic,2007,regular_unleaded,285.0,6,automatic,rear_wheel_drive,2,,large,crew_cab_pickup,19,15,1385
10642,pontiac,trans_sport,1998,regular_unleaded,180.0,6,automatic,front_wheel_drive,2,,compact,passenger_minivan,23,16,210
1785,subaru,baja,2005,premium_unleaded_(required),210.0,6,automatic,all_wheel_drive,2,crossover,compact,crew_cab_pickup,21,16,640
8610,volkswagen,routan,2010,regular_unleaded,197.0,6,automatic,front_wheel_drive,2,,midsize,passenger_minivan,23,16,873
5854,subaru,impreza_wrx,2014,premium_unleaded_(required),265.0,6,manual,all_wheel_drive,2,"hatchback,performance",compact,4dr_hatchback,25,19,640
465,ferrari,456m,2003,premium_unleaded_(required),442.0,6,manual,rear_wheel_drive,2,"exotic,high-performance",compact,coupe,15,9,2774
6954,pontiac,montana,2004,regular_unleaded,185.0,6,automatic,front_wheel_drive,2,,compact,passenger_minivan,24,17,210
1635,chevrolet,aveo,2009,regular_unleaded,107.0,6,manual,front_wheel_drive,2,,compact,sedan,34,27,1385
10182,toyota,tacoma,2015,regular_unleaded,159.0,6,automatic,rear_wheel_drive,2,,compact,extended_cab_pickup,24,19,2031
5831,chevrolet,impala,2016,flex-fuel_(unleaded/natural_gas),,6,automatic,front_wheel_drive,2,"flex_fuel,performance",large,sedan,25,17,1385
6473,lexus,ls_400,1998,regular_unleaded,290.0,6,automatic,rear_wheel_drive,2,luxury,midsize,sedan,23,17,454
8655,acura,rsx,2006,regular_unleaded,155.0,6,manual,front_wheel_drive,2,"hatchback,luxury",compact,2dr_hatchback,31,24,204
4507,ford,f-150,2015,flex-fuel_(unleaded/e85),282.0,6,automatic,four_wheel_drive,2,flex_fuel,large,regular_cab_pickup,23,17,5657
1459,bentley,arnage,2009,premium_unleaded_(required),450.0,6,automatic,rear_wheel_drive,2,"exotic,luxury,performance",large,sedan,14,10,520
456,mercedes-benz,400-class,1993,regular_unleaded,275.0,6,automatic,rear_wheel_drive,2,"luxury,performance",midsize,sedan,22,16,617
9291,gmc,sierra_1500_classic,2007,regular_unleaded,285.0,6,automatic,four_wheel_drive,2,,large,crew_cab_pickup,18,14,549
5306,mercedes-benz,glc-class,2016,premium_unleaded_(required),241.0,6,automatic,rear_wheel_drive,2,"crossover,luxury",midsize,4dr_suv,28,22,617
8553,acura,rlx,2016,premium_unleaded_(recommended),377.0,6,automated_manual,all_wheel_drive,2,"luxury,high-performance,hybrid",midsize,sedan,32,28,204
6148,volkswagen,jetta,2017,premium_unleaded_(recommended),210.0,6,automated_manual,front_wheel_drive,2,"factory_tuner,performance",midsize,sedan,33,24,873
5390,volkswagen,golf_gti,2016,premium_unleaded_(recommended),220.0,6,automated_manual,front_wheel_drive,2,"hatchback,performance",compact,2dr_hatchback,33,25,873
1413,nissan,altima,2016,regular_unleaded,182.0,6,automatic,front_wheel_drive,2,,midsize,sedan,39,27,2009
5953,oldsmobile,intrigue,2001,regular_unleaded,215.0,6,automatic,front_wheel_drive,2,,midsize,sedan,26,17,26
5198,pontiac,g6,2009,regular_unleaded,252.0,6,automatic,front_wheel_drive,2,performance,midsize,coupe,26,17,210
8419,acura,rdx,2015,premium_unleaded_(recommended),273.0,6,automatic,all_wheel_drive,2,"crossover,luxury",midsize,4dr_suv,27,19,204
4695,pontiac,firebird,2001,premium_unleaded_(required),310.0,6,automatic,rear_wheel_drive,2,"hatchback,performance",midsize,2dr_hatchback,23,16,210
1829,volkswagen,beetle_convertible,2015,regular_unleaded,170.0,6,automatic,front_wheel_drive,2,,compact,convertible,32,24,873
8659,lexus,rx_300,2001,premium_unleaded_(required),220.0,6,automatic,front_wheel_drive,2,"crossover,luxury",midsize,4dr_suv,21,17,454
11576,volvo,xc60,2015,regular_unleaded,250.0,6,automatic,all_wheel_drive,2,"crossover,luxury",midsize,4dr_suv,25,18,870
3556,cadillac,deville,2003,regular_unleaded,300.0,6,automatic,front_wheel_drive,2,"luxury,performance",large,sedan,25,16,1624
8899,volvo,s60,2016,regular_unleaded,302.0,6,automatic,all_wheel_drive,2,"luxury,high-performance",midsize,sedan,31,22,870
11493,bmw,x3,2016,premium_unleaded_(required),240.0,6,automatic,rear_wheel_drive,2,"crossover,luxury",midsize,4dr_suv,28,21,3916
5446,volkswagen,golf,2015,regular_unleaded,170.0,6,manual,front_wheel_drive,2,hatchback,compact,4dr_hatchback,37,25,873
10671,ford,transit_connect,2016,regular_unleaded,169.0,6,automatic,front_wheel_drive,2,,compact,cargo_minivan,29,21,5657
